Usuarios,TPS,P95 Latency (ms),Error %
26,35.21666666666667,691.9999999999973,0.09465215333648841
27,42.21666666666667,1211.4,0.03947887879984208
28,44.916666666666664,1688.5999999999995,0.11131725417439704
29,44.53333333333333,2732.3499999999995,0.1122754491017964
30,45.3,3156.4500000000003,0.11037527593818984
31,45.833333333333336,3986.0,0.1090909090909091
32,45.18333333333333,4992.0,0.11066027296200663
33,46.35,5519.0,0.10787486515641855
34,47.3,5467.200000000001,0.035236081747709654
35,45.8,5481.500000000001,0.21834061135371177
36,45.93333333333333,5675.0,0.14513788098693758
37,45.71666666666667,7521.9000000000015,0.32810791104629966
38,46.81666666666667,7942.999999999999,0.2491990032039872
39,44.6,8446.0,0.11210762331838565
40,46.583333333333336,8077.299999999994,0.35778175313059035
41,47.1,8063.0,0.035385704175513094
42,46.516666666666666,10612.0,0.42995342171264783
43,48.233333333333334,9778.449999999995,0.414651002073255
44,50.43333333333333,9870.5,0.13218770654329146
45,48.68333333333333,10597.0,1.0955152345087298
46,46.8,11246.550000000005,0.49857549857549854
47,49.45,10266.199999999997,0.2696326255476913
48,48.516666666666666,10803.5,0.6183442116111302
49,48.35,11341.0,1.1720096518441918
50,51.36666666666667,11057.749999999996,1.0058403634003894
