Usuarios,TPS,P95 Latency (ms),Error %
1,1.5833333333333333,10054.699999999999,0.0
10,3.6,35064.25,0.0
11,3.75,35059.8,0.0
12,4.266666666666667,35066.5,0.0
13,4.516666666666667,35056.0,0.0
14,4.833333333333333,35064.55,0.0
15,5.233333333333333,35073.0,0.0
16,5.466666666666667,35059.0,0.0
17,5.916666666666667,35079.3,0.0
18,6.133333333333334,35073.65,0.0
19,6.583333333333333,35061.3,0.0
2,1.7333333333333334,18600.9,0.0
20,6.8,35066.65,0.0
3,1.8166666666666667,26580.399999999998,0.0
4,1.8666666666666667,35048.25,0.0
5,2.066666666666667,35080.65,0.0
6,2.4,35062.7,0.0
7,2.566666666666667,35056.05,0.0
8,2.966666666666667,35089.3,0.0
9,3.1666666666666665,35154.6,0.0
